x,signal_A,signal_B,combined_clean,noisy_input
0.000000000000000000e+00,1.007127643231739095e-78,0.000000000000000000e+00,1.007127643231739095e-78,1.058431407580598282e+00
1.220852154804053229e-04,3.838688469748914069e-03,0.000000000000000000e+00,3.838688469748914069e-03,2.439330134900828673e-01
2.441704309608106458e-04,7.683875654176581561e-03,0.000000000000000000e+00,7.683875654176581561e-03,5.949266661176201287e-01
3.662556464412159958e-04,1.153550426258925787e-02,0.000000000000000000e+00,1.153550426258925787e-02,1.356071423783463903e+00
4.883408619216212916e-04,1.539351642244208077e-02,0.000000000000000000e+00,1.539351642244208077e-02,1.135928310512422490e+00
6.104260774020265875e-04,1.925785367774012630e-02,0.000000000000000000e+00,1.925785367774012630e-02,-5.671088742481064093e-01
7.325112928824319917e-04,2.312845698745726042e-02,0.000000000000000000e+00,2.312845698745726042e-02,5.931815075028108453e-01
8.545965083628372875e-04,2.700526672397297184e-02,0.000000000000000000e+00,2.700526672397297184e-02,-6.380905825464575076e-02
9.766817238432425833e-04,3.088822267152759732e-02,0.000000000000000000e+00,3.088822267152759732e-02,-3.104308840460710817e-02
1.098766939323647879e-03,3.477726402469592110e-02,0.000000000000000000e+00,3.477726402469592110e-02,2.811363651877193393e-01
1.220852154804053175e-03,3.867232938687968635e-02,0.000000000000000000e+00,3.867232938687968635e-02,1.250984720834064645e-01
1.342937370284458471e-03,4.257335676881906367e-02,0.000000000000000000e+00,4.257335676881906367e-02,9.151374609466040866e-01
1.465022585764863983e-03,4.648028358712345126e-02,0.000000000000000000e+00,4.648028358712345126e-02,5.031029186753194216e-01
1.587107801245269279e-03,5.039304666282167638e-02,0.000000000000000000e+00,5.039304666282167638e-02,1.233980565585187095e-01
1.709193016725674575e-03,5.431158221993222235e-02,0.000000000000000000e+00,5.431158221993222235e-02,3.206295218671875724e-01
1.831278232206079871e-03,5.823582588405327304e-02,0.000000000000000000e+00,5.823582588405327304e-02,2.584404223086133601e-01
1.953363447686485167e-03,6.216571268097317859e-02,0.000000000000000000e+00,6.216571268097317859e-02,9.586131565755368067e-01
2.075448663166890462e-03,6.610117703530139777e-02,0.000000000000000000e+00,6.610117703530139777e-02,-5.699378122417912695e-02
2.197533878647295758e-03,7.004215276912037491e-02,0.000000000000000000e+00,7.004215276912037491e-02,2.578827737596611769e-01
2.319619094127701054e-03,7.398857310065834469e-02,0.000000000000000000e+00,7.398857310065834469e-02,-4.384688704803765269e-01
