x,true_signal,noisy_signal
0.000000000000000000e+00,0.000000000000000000e+00,8.820261729838320131e-01
1.220852154804053229e-04,2.300781017726142436e-02,2.230864143608730643e-01
2.441704309608106458e-04,4.598736393308817949e-02,5.353563559859577659e-01
3.662556464412159958e-04,6.891044632525458735e-02,1.189357045925983458e+00
4.883408619216212916e-04,9.174892530894396270e-02,1.025527920383927594e+00
6.104260774020265875e-04,1.144747930330200364e-01,-3.741641469051854574e-01
7.325112928824319917e-04,1.370602069536300815e-01,6.121044157164248212e-01
8.545965083628372875e-04,1.594775307046681079e-01,8.379892655581916427e-02
9.766817238432425833e-04,1.816993746649847585e-01,1.300899487682058431e-01
1.098766939323647879e-03,2.036986361626758890e-01,4.089978871318620257e-01
1.220852154804053175e-03,2.254485392573162827e-01,2.974703248377552622e-01
1.342937370284458471e-03,2.469226740416253507e-01,9.740594275231129195e-01
1.465022585764863983e-03,2.680950354047583750e-01,6.486138979782550829e-01
1.587107801245269279e-03,2.889400612002092639e-01,3.497775694466234708e-01
1.709193016725674575e-03,3.094326697621860855e-01,5.313642861348989443e-01
1.831278232206079871e-03,3.295482967152792986e-01,4.963854604024127148e-01
1.953363447686485167e-03,3.492629310232811535e-01,1.096302467602084274e+00
2.075448663166890462e-03,3.685531502241355395e-01,2.659740183412351300e-01
2.197533878647295758e-03,3.873961547991928711e-01,5.439300056246435533e-01
2.319619094127701054e-03,4.057698016262189511e-01,-2.127806802464343727e-02
2.441704309608106350e-03,4.236526364669546130e-01,-8.528422714500847324e-01
2.563789525088511646e-03,4.410239254414415333e-01,7.678332231616218362e-01
2.685874740568916941e-03,4.578636854428219105e-01,8.900817848725748327e-01
2.807959956049322237e-03,4.741527134478771277e-01,1.030702032446561556e-01
2.930045171529727967e-03,4.898726146801937187e-01,1.624749926673997535e+00
3.052130387010133263e-03,5.050058295845349932e-01,-2.221770077148473854e-01
3.174215602490538558e-03,5.195356595727428362e-01,5.424149182234658806e-01
3.296300817970943854e-03,5.334462915033033603e-01,4.398543664903865613e-01
3.418386033451349150e-03,5.467228208585697136e-01,1.313112428037798374e+00
3.540471248931754446e-03,5.593512735855545870e-01,1.294030658535697098e+00
3.662556464412159742e-03,5.713186265681672316e-01,6.487923394166253965e-01
3.784641679892565037e-03,5.826128267007851802e-01,7.716940865018719897e-01
3.906726895372970333e-03,5.932228085351074487e-01,1.493299347200510718e-01
4.028812110853375629e-03,6.031385104743334225e-01,-3.872597236376300600e-01
4.150897326333780925e-03,6.123508894908492595e-01,4.383948148277729828e-01
4.272982541814186221e-03,6.208519343457766793e-01,6.990264188977667326e-01
4.395067757294591516e-03,6.286346772909394698e-01,1.243780017654799952e+00
4.517152972774996812e-03,6.356932042360372570e-01,1.236883128628242901e+00
4.639238188255402108e-03,6.420226633660743865e-01,4.483592546620982500e-01
4.761323403735807404e-03,6.476192721963689447e-01,4.964678969087011895e-01
4.883408619216212700e-03,6.524803230547653321e-01,1.282038405212190257e-01
5.005493834696617995e-03,6.566041869829909450e-01,-5.340478160649664296e-02
5.127579050177023291e-03,6.599903160514162259e-01,-1.931447792610900827e-01
5.249664265657428587e-03,6.626392440838172471e-01,1.638026941699711969e+00
5.371749481137833883e-03,6.645525857910745682e-01,4.097264949152478186e-01
5.493834696618239179e-03,6.657330343150840157e-01,4.466958835094908542e-01
5.615919912098644474e-03,6.661843571864942692e-01,3.978667716153116984e-02
5.738005127579049770e-03,6.659113907022160550e-01,1.054656568618171031e+00
5.860090343059455933e-03,6.649200327309758851e-01,-1.420288910479998723e-01
5.982175558539861229e-03,6.632172339574960995e-01,5.568470938505117873e-01
6.104260774020266525e-03,6.608109875781826847e-01,2.130777069813448721e-01
6.226345989500671821e-03,6.577103174634770788e-01,8.511615663931080267e-01
6.348431204981077117e-03,6.539252648042844784e-01,3.985226960198479662e-01
6.470516420461482412e-03,6.494668732621222684e-01,5.915078120091621372e-02
6.592601635941887708e-03,6.443471726448312120e-01,6.302560584755038109e-01
6.714686851422293004e-03,6.385791611318617500e-01,8.527450963970706344e-01
6.836772066902698300e-03,6.321767860752794954e-01,6.654353972668634043e-01
6.958857282383103596e-03,6.251549234047327763e-01,7.763908722746234448e-01
7.080942497863508892e-03,6.175293556666729966e-01,3.003683088261911993e-01
7.203027713343914187e-03,6.093167487301325291e-01,4.279461657365634664e-01
7.325112928824319483e-03,6.005346271933235114e-01,2.643044033053479902e-01
7.447198144304724779e-03,5.912013485272302749e-01,4.114247677569596306e-01
7.569283359785130075e-03,5.813360759942317602e-01,1.747629349720047354e-01
7.691368575265535371e-03,5.709587503815837239e-01,-2.921825507842547021e-01
7.813453790745940666e-03,5.600900605913422536e-01,6.488031317182186841e-01
7.935539006226345962e-03,5.487514131299844333e-01,3.478609450258535185e-01
8.057624221706751258e-03,5.369649005426064825e-01,-2.781342729404158165e-01
8.179709437187156554e-03,5.247532688381286725e-01,7.561443966010157336e-01
8.301794652667561850e-03,5.121398839534203606e-01,5.849070176179926861e-02
8.423879868147967145e-03,4.991486973056750154e-01,5.251213952037444566e-01
8.545965083628372441e-03,4.858042104837028696e-01,8.503494915724713055e-01
8.668050299108777737e-03,4.721314391300764912e-01,5.366228945087818669e-01
8.790135514589183033e-03,4.581558760672555519e-01,1.027856218338905947e+00
8.912220730069588329e-03,4.439034537219289644e-01,-1.735094564548973484e-01
9.034305945549993624e-03,4.294005059028420113e-01,6.305713264916165128e-01
9.156391161030398920e-03,4.146737289883326572e-01,7.226868351817605785e-02
9.278476376510804216e-03,3.997501425806628261e-01,-3.564843201027806385e-02
9.400561591991209512e-03,3.846570496850194032e-01,9.523221730281167252e-02
